regime,asset,weeks,ann_return,ann_vol
Deep Calm,SPY,237,0.1360846442540816,0.1334808530287636
Deep Calm,TLT,237,-0.15263622473741867,0.13722032790957306
Deep Calm,GLD,237,-0.20485254196148234,0.16243464013238604
Deep Calm,HYG,237,0.01685291788281891,0.06797708538197109
Calm,SPY,430,0.23809807612259806,0.07359576846659202
Calm,TLT,430,0.036281995457583836,0.12274563604598171
Calm,GLD,430,0.17659087289255188,0.1329892439884904
Calm,HYG,430,0.11189375551254026,0.05409013497264514
Elevated Stress,SPY,276,0.009539229427439266,0.22264006720204765
Elevated Stress,TLT,276,0.12696762704201642,0.15016633822539915
Elevated Stress,GLD,276,0.275649995481582,0.18596700030515834
Elevated Stress,HYG,276,0.05140767877406585,0.12118336339359803
Crisis,SPY,39,-0.6065933096166912,0.566669751711811
Crisis,TLT,39,0.6937021418190541,0.260786879883859
Crisis,GLD,39,0.3195069987615608,0.32072387262191493
Crisis,HYG,39,-0.322710105249878,0.4172078606838931
