Total Return,Ann Return,Ann Vol,Sharpe,Max Drawdown,Calmar,Ann Turnover,strategy,Transaction Cost bps
3.5259251911467304,0.09971310047325566,0.10075881556856173,0.9896216019471318,-0.27247271838605747,0.365956272847748,0.24198410916402105,60/40 Benchmark,0
6.926828431811211,0.1392050538405556,0.08285538046045395,1.6800967307970638,-0.26054295037127706,0.5342883146221634,3.4198762387137527,Phase II Hand + Regime,0
10.169653861161473,0.16406782954764143,0.08496787221064298,1.9309396043354194,-0.23401378604362089,0.7011032654164173,5.794241676980199,Post-Phase-II Regime Optimized,0
3.50853204946342,0.0994465640533122,0.10076623768185379,0.9869036131654716,-0.27251797389229115,0.36491744978486096,0.24198410916402105,60/40 Benchmark,10
6.508382093922023,0.13532223018124778,0.08288647106477101,1.632621445247696,-0.2630978420349088,0.5143418476358795,3.4198762387137527,Phase II Hand + Regime,10
9.191296770212027,0.15736960270074252,0.08488258407593985,1.8539680950329276,-0.23742202068175566,0.6628264819280739,5.794241676980199,Post-Phase-II Regime Optimized,10
3.4825569796079145,0.09904671684462651,0.10077877421063866,0.9828132721440731,-0.2725858571516424,0.363359705744109,0.24198410916402105,60/40 Benchmark,25
5.9213146270013,0.1295181880524221,0.08297734397192331,1.5608861630500803,-0.2669173463945712,0.48523705859476635,3.4198762387137527,Phase II Hand + Regime,25
7.880498681699381,0.14738170453202915,0.08487234241714184,1.7365103911903128,-0.2436821920935477,0.604811140550847,5.794241676980199,Post-Phase-II Regime Optimized,25
3.439569235858876,0.09838019042207002,0.10080340911205911,0.9759609450579664,-0.272698995917227,0.36076476956274384,0.24198410916402105,60/40 Benchmark,50
5.042042255368392,0.11989843703478731,0.0832462722245242,1.4402859591286954,-0.2732490756739444,0.4387880791145168,3.4198762387137527,Phase II Hand + Regime,50
6.056324286464336,0.1308927210452171,0.08516880655260672,1.536862219201907,-0.25402702959525625,0.5152708404840609,5.794241676980199,Post-Phase-II Regime Optimized,50
